id,commuters
RES_1358,115
RES_1359,29
RES_1360,45
RES_1361,270
RES_1362,386
RES_1363,145
RES_1364,43
RES_1365,114
RES_1366,236
RES_1367,85
RES_1368,53
RES_1369,518
RES_1370,564
RES_1371,161
RES_1372,195
RES_1373,344
RES_1374,978
RES_1375,910
RES_1376,697
RES_1377,288
RES_1378,197
RES_1379,586
RES_1380,903
RES_1381,679
RES_1382,821
RES_1383,911
RES_1384,1111
RES_1385,1594
RES_1386,88
RES_1387,354
RES_1388,630
RES_1389,1317
RES_1390,1479
RES_1391,853
RES_1392,1218
RES_1393,1094
RES_1394,162
RES_1395,263
RES_1396,464
RES_1397,70
RES_1398,66
RES_1399,1313
RES_1400,1703
RES_1401,1317
RES_1402,1079
RES_1403,1108
RES_1404,249
RES_1405,179
RES_1406,5
RES_1407,335
RES_1408,690
RES_1409,1473
RES_1410,2056
RES_1411,612
RES_1412,235
RES_1413,140
RES_1414,359
RES_1415,1018
RES_1416,708
RES_1417,208
RES_1418,614
RES_1419,97
RES_1420,309
RES_1421,80
RES_1422,372
RES_1423,247
RES_1424,204
RES_1425,75
RES_1426,146
RES_1427,893
RES_1428,1
RES_1429,87
RES_1430,0
RES_1431,213
RES_1432,197
RES_1433,110
RES_1434,6
RES_1435,176
RES_1436,68
RES_1437,71
RES_1438,11
RES_1439,57
RES_1440,278
RES_1441,166
RES_1442,295
RES_1443,470
RES_1444,353
RES_1445,2
RES_1446,213
RES_1447,962
RES_1448,458
RES_1449,309
RES_1450,69
RES_1451,332
RES_1452,161
RES_1453,41
RES_1454,92
RES_1455,2
RES_1456,23
RES_1457,178
RES_1458,178
RES_1459,138
RES_1460,122
RES_1461,213
RES_1462,224
RES_1463,162
RES_1464,116
RES_1465,38
RES_1466,151
RES_1467,164
RES_1468,93
RES_1469,329
RES_1470,433
RES_1471,16
RES_1472,110
RES_1473,104
RES_1474,699
RES_1475,117
RES_1476,131
RES_1477,48
RES_1478,281
RES_1479,89
RES_1480,112
RES_1481,27
RES_1482,95
RES_1483,105
RES_1484,11
RES_1485,173
RES_1486,493
RES_1487,42
RES_1488,83
RES_1489,114
RES_1490,41
RES_1491,28
RES_1492,92
RES_1493,39
RES_1494,186
RES_1495,62
RES_1496,24
RES_1497,329
RES_1498,140
RES_1499,104
RES_1500,134
RES_1501,88
RES_1502,81
RES_1503,217
RES_1504,102
RES_1505,137
RES_1506,4
RES_1507,1
RES_1508,0
RES_1509,1
RES_1510,4
RES_1511,5
RES_1512,8
RES_1513,1
RES_1514,3
RES_1515,2
RES_1516,30
RES_1517,9
RES_1518,0
RES_1519,284
RES_1520,255
RES_1521,27
RES_1522,150
RES_1523,746
RES_1524,367
RES_1525,36
RES_1526,635
RES_1527,355
RES_1528,134
RES_1529,2
RES_1530,381
RES_1531,471
RES_1532,9
RES_1533,4
RES_1534,79
RES_1535,181
RES_1536,240
RES_1537,316
RES_1538,18
RES_1539,325
RES_1540,287
RES_1541,32
RES_1542,91
RES_1543,403
RES_1544,8
RES_1545,1
RES_1546,270
RES_1547,508
RES_1548,119
RES_1549,103
RES_1550,405
RES_1551,285
RES_1552,174
RES_1553,42
RES_1554,28
RES_1555,33
RES_1556,93
RES_1557,107
RES_1558,534
RES_1559,303
RES_1560,255
RES_1561,611
RES_1562,582
RES_1563,22
RES_1564,340
RES_1565,61
RES_1566,1
RES_1567,70
RES_1568,403
RES_1569,138
RES_1570,347
RES_1571,108
RES_1572,103
RES_1573,110
RES_1574,1
RES_1575,248
RES_1576,55
RES_1577,108
RES_1578,131
RES_1579,68
RES_1580,29
RES_1581,37
RES_1582,92
RES_1583,125
RES_1584,933
RES_1585,191
RES_1586,416
RES_1587,14
RES_1588,351
RES_1589,236
RES_1590,7
RES_1591,69
RES_1592,147
RES_1593,272
RES_1594,130
RES_1595,290
RES_1596,396
RES_1597,107
RES_1598,155
RES_1599,169
RES_1600,519
RES_1601,568
RES_1602,212
RES_1603,474
RES_1604,276
RES_1605,27
RES_1606,789
RES_1607,262
RES_1608,287
RES_1609,7
RES_1610,15
RES_1611,259
RES_1612,1427
RES_1613,300
RES_1614,266
RES_1615,178
RES_1616,181
RES_1617,318
RES_1618,691
RES_1619,284
RES_1620,465
RES_1621,561
RES_1622,7
RES_1623,389
RES_1624,651
RES_1625,222
RES_1626,335
RES_1627,386
RES_1628,226
RES_1629,248
RES_1630,137
RES_1631,228
RES_1632,881
RES_1633,151
RES_1634,26
RES_1635,84
RES_1636,115
RES_1637,421
RES_1638,602
RES_1639,619
RES_1640,75
RES_1641,63
RES_1642,713
RES_1643,697
RES_1644,247
RES_1645,80
RES_1646,20
RES_1647,30
RES_1648,424
RES_1649,384
RES_1650,145
RES_1651,78
RES_1652,646
RES_1653,367
RES_1654,165
RES_1655,536
RES_1656,319
RES_1657,59
RES_1658,272
RES_1659,169
RES_1660,159
RES_1661,457
RES_1662,130
RES_1663,277
RES_1664,163
RES_1665,187
RES_1666,0
RES_1667,827
RES_1668,1983
RES_1669,1550
RES_1670,185
RES_1671,31
RES_1672,266
RES_1673,2015
RES_1674,1113
RES_1675,352
RES_1676,308
RES_1677,3473
RES_1678,2423
RES_1679,1141
RES_1680,1483
RES_1681,28
RES_1682,123
RES_1683,1201
