id,municipality_code,municipality,bairro,residents,resident_workers,jobs,lon,lat
RES_0254,3300456,Belford Roxo,Municipal total,732,266,0,-43.373442,-22.7220109993271
RES_0255,3300456,Belford Roxo,Municipal total,503,167,0,-43.373323,-22.7201209993272
RES_0256,3300456,Belford Roxo,Municipal total,414,143,0,-43.371786,-22.7220449993271
RES_0257,3300456,Belford Roxo,Municipal total,749,259,0,-43.371177,-22.7204679993271
RES_0258,3300456,Belford Roxo,Municipal total,1022,348,0,-43.382427,-22.7307689993269
RES_0259,3300456,Belford Roxo,Municipal total,5544,1877,0,-43.383013,-22.725421999327
RES_0260,3300456,Belford Roxo,Municipal total,903,323,0,-43.378389,-22.726863999327
RES_0261,3300456,Belford Roxo,Municipal total,685,223,0,-43.379443,-22.728449999327
RES_0262,3300456,Belford Roxo,Municipal total,1708,581,0,-43.387907,-22.7322179993269
RES_0263,3300456,Belford Roxo,Municipal total,1873,622,0,-43.385971,-22.7306189993269
RES_0264,3300456,Belford Roxo,Municipal total,1241,426,0,-43.427322,-22.7105059993274
RES_0265,3300456,Belford Roxo,Municipal total,914,307,0,-43.429047,-22.7054459993275
RES_0266,3300456,Belford Roxo,Municipal total,2158,712,0,-43.424764,-22.7110299993274
RES_0267,3300456,Belford Roxo,Municipal total,3329,1095,0,-43.423605,-22.7058479993275
RES_0268,3300456,Belford Roxo,Municipal total,1308,460,0,-43.416489,-22.7019309993276
RES_0269,3300456,Belford Roxo,Municipal total,558,197,0,-43.429788,-22.7031019993275
RES_0270,3300456,Belford Roxo,Municipal total,971,294,0,-43.423338,-22.7039379993275
RES_0271,3300456,Belford Roxo,Municipal total,151,48,0,-43.41534,-22.6996529993276
RES_0272,3300456,Belford Roxo,Municipal total,790,253,0,-43.424172,-22.7103519993274
RES_0273,3300456,Belford Roxo,Municipal total,271,91,0,-43.429421,-22.7037439993275
RES_0274,3300803,Cachoeiras de Macacu,Municipal total,215,13,0,-42.892239,-22.6098639993297
RES_0275,3300803,Cachoeiras de Macacu,Municipal total,121,7,0,-42.886146,-22.6046429993298
RES_0276,3300803,Cachoeiras de Macacu,Municipal total,172,9,0,-42.873673,-22.6157859993296
RES_0277,3300803,Cachoeiras de Macacu,Municipal total,360,21,0,-42.869718,-22.5870129993302
RES_0278,3300803,Cachoeiras de Macacu,Municipal total,160,9,0,-42.852607,-22.5729469993306
RES_0279,3300803,Cachoeiras de Macacu,Municipal total,92,5,0,-42.850792,-22.6021889993299
RES_0280,3300803,Cachoeiras de Macacu,Municipal total,185,12,0,-42.833287,-22.6266749993293
RES_0281,3300803,Cachoeiras de Macacu,Municipal total,92,5,0,-42.832589,-22.6053119993298
