origin,destination,observed_2010_expanded,observed_2022_pair,seed_from_2022_containment_2010_shares,balanced_target,change_from_seed,status,actual,target_error,difference_from_historical_2010,historical_change_percent
3301850,3304904,168.40448747046142,,33.08295051009184,0,-33.08295051009184,"historical 2010 survey prior, adjusted to modeled margins",0,0,-168.40448747046142,-100.0
3301850,3305109,39.967362379211494,,7.867118396392415,3,-4.867118396392415,"historical 2010 survey prior, adjusted to modeled margins",3,0,-36.967362379211494,-92.4938754488327
3301850,3305554,7.5250976069281,,1.4835607236217974,5,3.516439276378202,"historical 2010 survey prior, adjusted to modeled margins",5,0,-2.5250976069281004,-33.55567912638541
3301900,3300456,0.0,,0.6782735219642636,1,0.3217264780357364,"historical 2010 survey prior, adjusted to modeled margins",1,0,1.0,
3301900,3300803,189.7991037513833,,7.324348971292407,695,687.6756510287076,"historical 2010 survey prior, adjusted to modeled margins",695,0,505.2008962486167,266.176650080696
3301900,3301702,348.35316274304716,,285.4021470125851,596,310.5978529874149,"historical 2010 survey prior, adjusted to modeled margins",596,0,247.64683725695284,71.0907388659544
3301900,3301801,0.0,,2.106485936129108e-06,0,-2.106485936129108e-06,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301900,3301850,12.3083717801051,,5.5313261730081225,122,116.46867382699187,"historical 2010 survey prior, adjusted to modeled margins",122,0,109.6916282198949,891.1952789498714
3301900,3301900,44269.71707116355,,51255.819032202045,51256,0.1809677979545085,2022 local containment,51256,0,6986.282928836452,15.781178175604794
3301900,3302007,19.3733231401325,,16.116163173204395,76,59.8838368267956,"historical 2010 survey prior, adjusted to modeled margins",76,0,56.6266768598675,292.29201645103115
3301900,3302270,8.8205627525265,,7.341352047446128,87,79.65864795255388,"historical 2010 survey prior, adjusted to modeled margins",87,0,78.1794372474735,886.331625780683
3301900,3302502,238.4808895771263,,188.7365971990216,532,343.2634028009784,"historical 2010 survey prior, adjusted to modeled margins",532,0,293.5191104228737,123.07867139515498
3301900,3302601,0.0,,4.6846653041461705e-06,1,0.999995315334696,"historical 2010 survey prior, adjusted to modeled margins",1,0,1.0,
3301900,3302700,346.072387762687,,130.1646694234054,1990,1859.8353305765943,"historical 2010 survey prior, adjusted to modeled margins",1990,0,1643.927612237313,475.02420602380073
3301900,3302809,0.0,,0.0,0,0.0,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301900,3302858,0.0,,0.2403547921340436,0,-0.2403547921340436,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301900,3302908,0.0,,2.205712867178669e-07,0,-2.205712867178669e-07,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301900,3303203,0.0,,0.2376456906797917,0,-0.2376456906797917,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301900,3303302,13333.618381271186,,10864.470788792409,10506,-358.4707887924087,"historical 2010 survey prior, adjusted to modeled margins",10506,0,-2827.618381271186,-21.206684490407692
3301900,3303500,59.4015683393211,,49.71647754468005,41,-8.716477544680053,"historical 2010 survey prior, adjusted to modeled margins",41,0,-18.401568339321102,-30.97825335891024
3301900,3303609,0.0,,0.1100754159218454,1,0.8899245840781546,"historical 2010 survey prior, adjusted to modeled margins",1,0,1.0,
3301900,3303906,31.372457834111497,,0.0050271777733478,0,-0.0050271777733478,"historical 2010 survey prior, adjusted to modeled margins",0,0,-31.372457834111497,-100.0
3301900,3304003,0.0,,0.0194978885433723,3,2.9805021114566275,"historical 2010 survey prior, adjusted to modeled margins",3,0,3.0,
3301900,3304144,0.0,,0.2419425361237065,0,-0.2419425361237065,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301900,3304409,0.0,,1.0985418420889674e-05,0,-1.0985418420889674e-05,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301900,3304557,11427.220650530297,,9328.702611131872,13437,4108.297388868128,"historical 2010 survey prior, adjusted to modeled margins",13437,0,2009.7793494697034,17.587648046127793
3301900,3304904,8839.273066131509,,7202.838347853582,0,-7202.838347853582,"historical 2010 survey prior, adjusted to modeled margins",0,0,-8839.273066131509,-100.0
3301900,3305109,11.7986411219693,,10.336779978782015,8,-2.336779978782017,"historical 2010 survey prior, adjusted to modeled margins",8,0,-3.7986411219693004,-32.19558153096255
3301900,3305554,0.0,,0.1955497313705645,2,1.8044502686294357,"historical 2010 survey prior, adjusted to modeled margins",2,0,2.0,
3302007,3300456,13.9866401101164,,12.875268951236412,11,-1.8752689512364125,"historical 2010 survey prior, adjusted to modeled margins",11,0,-2.986640110116401,-21.353520835616504
3302007,3300803,0.0,,0.0001153686871987,0,-0.0001153686871987,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3302007,3301702,168.09270365646,,152.82021813513524,155,2.179781864864765,"historical 2010 survey prior, adjusted to modeled margins",155,0,-13.092703656460003,-7.788977969691212
3302007,3301801,0.0,,5.937758954639328e-07,0,-5.937758954639328e-07,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3302007,3301850,0.0,,0.0070997646176579,0,-0.0070997646176579,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3302007,3301900,0.0,,0.1102853118897788,1,0.8897146881102211,"historical 2010 survey prior, adjusted to modeled margins",1,0,1.0,
