id,municipality_code,census_population,age_15_59_measured_or_suppression_proxy,census_municipal_employment_calibrated
RES_0562,3301702,2186,1379.0,856
RES_0563,3301702,384,246.0,153
RES_0564,3301702,2729,1721.0,1069
RES_0565,3301702,714,458.0,284
RES_0566,3301702,1730,1067.0,663
RES_0567,3301702,525,354.0,220
RES_0568,3301702,477,321.0,199
RES_0569,3301702,1461,961.0,597
RES_0570,3301702,3650,2336.0,1450
RES_0571,3301702,2052,1330.0,826
RES_0572,3301702,1831,1220.8034006692278,758
RES_0573,3301702,4151,2742.0,1703
RES_0574,3301702,1909,1282.0,796
RES_0575,3301702,1298,821.0,510
RES_0576,3301702,3602,2313.0,1436
RES_0577,3301702,1591,1058.0,657
RES_0578,3301702,176,116.0,72
RES_0579,3301702,426,309.0,192
RES_0580,3301702,501,313.0,194
RES_0581,3301702,360,233.0,145
RES_0582,3301702,2112,1351.0,839
RES_0583,3301702,3532,2308.0,1433
RES_0584,3301702,3403,2259.0,1403
RES_0585,3301702,817,522.0,324
RES_0586,3301702,961,629.0,391
RES_0587,3301702,3727,2370.0,1472
RES_0588,3301702,4232,2688.0,1669
RES_0589,3301702,3781,2465.0,1531
RES_0590,3301702,646,411.0,255
RES_0591,3301702,2599,1675.0,1040
RES_0592,3301702,2137,1364.0,847
RES_0593,3301702,1176,735.0,456
RES_0594,3301702,650,399.0,248
RES_0595,3301702,2851,1801.0,1118
RES_0596,3301702,17,10.913835667368943,7
RES_0597,3301702,1090,665.0,413
RES_0598,3301702,2011,1285.0,798
RES_0599,3301702,1177,766.0,476
RES_0600,3301702,2598,1665.0,1034
RES_0601,3301702,3953,2551.0,1584
RES_0602,3301702,851,546.0,339
RES_0603,3301702,589,388.0,241
RES_0604,3301702,368,248.0,154
RES_0605,3301702,1325,875.0,543
RES_0606,3301702,707,514.0,319
RES_0607,3301702,1616,1084.0,673
RES_0608,3301702,4922,3214.0,1996
RES_0609,3301702,2407,1573.0,977
RES_0610,3301702,705,464.0,288
RES_0611,3301702,3957,2511.0,1559
RES_0612,3301702,4850,3009.0,1868
RES_0613,3301702,2990,1888.5934490023546,1173
RES_0614,3301702,1454,973.0,604
RES_0615,3301702,731,443.0,275
RES_0616,3301702,714,449.0,279
RES_0617,3301702,464,317.0,197
RES_0618,3301702,2242,1399.0,869
RES_0619,3301702,1710,1107.0,687
RES_0620,3301702,1210,788.0,489
RES_0621,3301702,3996,2533.0,1573
RES_0622,3301702,2678,1720.0,1068
