municipality_code,municipality,bairro,residents,resident_workers,jobs,jobs_per_resident,covered_area_km2,jobs_per_km2,residents_per_km2
3304557,Rio de Janeiro,Quintino Bocaiúva,25271,9723,6591,0.2608127893633018,4.3238062699617625,1524.3513674025658,5844.618935765474
3304557,Rio de Janeiro,Ramos,34286,13228,26522,0.7735518870676078,2.793540529175661,9494.045181376448,12273.313969107643
3304557,Rio de Janeiro,Realengo,166325,65953,24216,0.14559446866075454,26.05426777795269,929.4446578342054,6383.790994147432
3304557,Rio de Janeiro,Recreio dos Bandeirantes,140437,59870,62310,0.4436864928758091,30.655705140755256,2032.5743516224625,4581.104866294395
3304557,Rio de Janeiro,Riachuelo,10514,3985,14380,1.3677002092448165,0.9281109844531027,15493.83666488285,11328.386557342023
3304557,Rio de Janeiro,Ribeira,3474,1328,3044,0.8762233736327001,0.8619271564540554,3531.6209463952064,4030.5030117532674
3304557,Rio de Janeiro,Ricardo de Albuquerque,27779,11030,2511,0.09039202275099896,2.116875498001481,1186.1821833029896,13122.642321773696
3304557,Rio de Janeiro,Rio Comprido,39548,16184,19078,0.48240113280064734,3.3425195601584985,5707.670413481543,11831.793139342071
3304557,Rio de Janeiro,Rocha,17134,6963,0,0.0,1.3116291144872454,0.0,13063.144002180972
3304557,Rio de Janeiro,Rocha Miranda,36009,13857,7251,0.20136632508539531,2.8867133126943068,2511.8531750672178,12474.047852847254
3304557,Rio de Janeiro,Rocinha,72154,32385,5815,0.08059151259805417,1.437198577130004,4046.065792531045,50204.61413487275
3304557,Rio de Janeiro,Sampaio,8832,3509,0,0.0,0.8844108379839227,0.0,9986.309100568205
3304557,Rio de Janeiro,Santa Cruz,248491,101426,67234,0.27056915542212795,125.04462903539827,537.6800308709545,1987.2184988421686
3304557,Rio de Janeiro,Santa Teresa,35512,14905,0,0.0,5.157142202804992,0.0,6885.984253194506
3304557,Rio de Janeiro,Santo Cristo,9936,4051,24205,2.4360909822866343,1.6847251769615756,14367.32847054262,5897.697817943048
3304557,Rio de Janeiro,Santíssimo,46878,19356,4540,0.09684713511668587,8.319636334404105,545.6969292306426,5634.621288210146
3304557,Rio de Janeiro,Saúde,1876,773,0,0.0,0.3638185839560386,0.0,5156.4160895823925
3304557,Rio de Janeiro,Senador Camará,107123,43466,15021,0.14022198780840717,16.908650151024293,888.3618660174394,6335.396323373022
3304557,Rio de Janeiro,Senador Vasconcelos,32417,13221,7369,0.22731899929049573,6.441786350448169,1143.9373489136788,5032.299774695986
3304557,Rio de Janeiro,Sepetiba,58738,23095,11421,0.19443971534611326,11.621330813637874,982.7618009632097,5054.326474474828
3304557,Rio de Janeiro,São Conrado,9739,3520,7099,0.7289249409590307,6.488582983061309,1094.0755506298074,1500.9440467085076
3304557,Rio de Janeiro,São Francisco Xavier,6340,2597,15400,2.4290220820189274,0.6489093497366641,23732.128387808745,9770.239868747236
3304557,Rio de Janeiro,Tanque,31965,12785,8372,0.2619114656655717,5.568004962175306,1503.5906140301338,5740.83540103598
3304557,Rio de Janeiro,Taquara,111765,44306,41399,0.370411130497025,13.206665317182093,3134.7050149093434,8462.77219235592
3304557,Rio de Janeiro,Tauá,26482,10689,5277,0.19926742693150065,1.6725502781010624,3155.0621043160904,15833.305788610707
3304557,Rio de Janeiro,Tijuca,144364,53516,90006,0.6234656839655316,10.065585296878528,8941.95392968475,14342.335367697813
3304557,Rio de Janeiro,Todos os Santos,22593,8693,13050,0.5776125348559288,1.0126386714062507,12887.123875960091,22311.018370081714
3304557,Rio de Janeiro,Tomás Coelho,18525,7468,0,0.0,1.7475311937311502,0.0,10600.669141960958
3304557,Rio de Janeiro,Turiaçú,11521,4479,6638,0.5761652634319937,1.2558130219677217,5285.818735657781,9174.136434696187
3304557,Rio de Janeiro,Urca,5390,2065,12020,2.230055658627087,2.319007983903827,5183.250805271264,2324.2697038612405
3304557,Rio de Janeiro,Vargem Grande,21350,8988,6258,0.29311475409836063,39.38048694676301,158.91118889565672,542.1466735254508
3304557,Rio de Janeiro,Vargem Pequena,31307,13412,10922,0.3488676653783499,14.438332930467922,756.4585227808593,2168.3251211042266
3304557,Rio de Janeiro,Vasco da Gama,14471,6062,19873,1.37329832077949,0.863076834302104,23025.759944153277,16766.757517830323
3304557,Rio de Janeiro,Vaz Lobo,10995,4317,0,0.0,1.101223899106817,0.0,9984.345607571582
