municipality,bairro,population
Rio de Janeiro,Glória,7120
Rio de Janeiro,Grajaú,32816
Rio de Janeiro,Grumari,184
Rio de Janeiro,Guadalupe,40820
Rio de Janeiro,Guaratiba,160488
Rio de Janeiro,Gávea,14100
Rio de Janeiro,Higienópolis,14227
Rio de Janeiro,Honório Gurgel,18213
Rio de Janeiro,Humaitá,13044
Rio de Janeiro,Inhaúma,37233
Rio de Janeiro,Inhoaíba,72141
Rio de Janeiro,Ipanema,37392
Rio de Janeiro,Irajá,86388
Rio de Janeiro,Itanhangá,68537
Rio de Janeiro,Jacarepaguá,217462
Rio de Janeiro,Jacarezinho,35458
Rio de Janeiro,Jacaré,8088
Rio de Janeiro,Jardim América,20244
Rio de Janeiro,Jardim Botânico,15871
Rio de Janeiro,Jardim Carioca,20374
Rio de Janeiro,Jardim Guanabara,27084
Rio de Janeiro,Jardim Sulacap,14396
Rio de Janeiro,Joá,1966
Rio de Janeiro,Lagoa,18676
Rio de Janeiro,Lapa,8984
Rio de Janeiro,Laranjeiras,39982
Rio de Janeiro,Leblon,37709
Rio de Janeiro,Leme,12479
Rio de Janeiro,Lins de Vasconcelos,30910
Rio de Janeiro,Madureira,39888
Rio de Janeiro,Magalhães Bastos,20636
Rio de Janeiro,Mangueira,18247
Rio de Janeiro,Manguinhos,28855
Rio de Janeiro,Maracanã,22915
Rio de Janeiro,Marechal Hermes,41507
Rio de Janeiro,Maria da Graça,7209
Rio de Janeiro,Maré,124832
Rio de Janeiro,Moneró,5723
Rio de Janeiro,Méier,39700
Rio de Janeiro,Olaria,51222
Rio de Janeiro,Oswaldo Cruz,29819
Rio de Janeiro,Paciência,105701
Rio de Janeiro,Padre Miguel,60410
Rio de Janeiro,Paquetá,4185
Rio de Janeiro,Parada de Lucas,22069
Rio de Janeiro,Parque Anchieta,21552
Rio de Janeiro,Parque Colúmbia,8222
Rio de Janeiro,Pavuna,95337
Rio de Janeiro,Pechincha,37487
Rio de Janeiro,Pedra de Guaratiba,11950
Rio de Janeiro,Penha,58516
Rio de Janeiro,Penha Circular,36725
Rio de Janeiro,Piedade,38181
Rio de Janeiro,Pilares,23518
Rio de Janeiro,Pitangueiras,10242
Rio de Janeiro,Portuguesa,19831
Rio de Janeiro,Praia da Bandeira,5153
Rio de Janeiro,Praça Seca,63158
Rio de Janeiro,Praça da Bandeira,7215
Rio de Janeiro,Quintino Bocaiúva,25271
Rio de Janeiro,Ramos,34453
Rio de Janeiro,Realengo,167919
Rio de Janeiro,Recreio dos Bandeirantes,140437
Rio de Janeiro,Riachuelo,10514
Rio de Janeiro,Ribeira,5425
Rio de Janeiro,Ricardo de Albuquerque,27779
Rio de Janeiro,Rio Comprido,40269
Rio de Janeiro,Rocha,14627
Rio de Janeiro,Rocha Miranda,36360
Rio de Janeiro,Rocinha,72154
Rio de Janeiro,Sampaio,8832
Rio de Janeiro,Santa Cruz,249134
Rio de Janeiro,Santa Teresa,36176
Rio de Janeiro,Santo Cristo,9936
Rio de Janeiro,Santíssimo,48187
Rio de Janeiro,Saúde,1876
