group,municipality_code,municipality,bairro,residents,target_jobs,formal_component_estimated,informal_component_estimated,spatial_source,jobs,rounding_difference,resident_workers,rais_2023_formal_links,cempre_2024_municipality_persons
133,3304557,Rio de Janeiro,Praça Seca,61483,14372,5209.1,9162.79,RAIS 2023 neighborhood shares + CEMPRE 2024,14366,-6,30601,4632.0,2997653
134,3304557,Rio de Janeiro,Praça da Bandeira,7464,14847,12006.11,2840.36,RAIS 2023 neighborhood shares + CEMPRE 2024,14853,6,3714,10676.0,2997653
135,3304557,Rio de Janeiro,Quintino Bocaiúva,25271,14130,9278.98,4850.59,RAIS 2023 neighborhood shares + CEMPRE 2024,14132,2,12579,8251.0,2997653
136,3304557,Rio de Janeiro,Ramos,42739,28563,19744.41,8818.99,RAIS 2023 neighborhood shares + CEMPRE 2024,28561,-2,21271,17557.0,2997653
137,3304557,Rio de Janeiro,Realengo,167217,41922,16628.17,25294.16,RAIS 2023 neighborhood shares + CEMPRE 2024,41917,-5,83226,14786.0,2997653
138,3304557,Rio de Janeiro,Recreio dos Bandeirantes,140437,80154,52982.76,27171.19,RAIS 2023 neighborhood shares + CEMPRE 2024,80148,-6,69899,47113.0,2997653
139,3304557,Rio de Janeiro,Riachuelo,10875,6174,4074.39,2099.73,RAIS 2023 neighborhood shares + CEMPRE 2024,6172,-2,5413,3623.0,2997653
140,3304557,Rio de Janeiro,Ribeira,5425,3225,2158.09,1066.53,RAIS 2023 neighborhood shares + CEMPRE 2024,3222,-3,2700,1919.0,2997653
141,3304557,Rio de Janeiro,Ricardo de Albuquerque,27358,5392,1447.35,3944.89,RAIS 2023 neighborhood shares + CEMPRE 2024,5403,11,13617,1287.0,2997653
142,3304557,Rio de Janeiro,Rio Comprido,39154,42337,32125.01,10211.84,RAIS 2023 neighborhood shares + CEMPRE 2024,42340,3,19487,28566.0,2997653
143,3304557,Rio de Janeiro,Rocha,17134,10071,6717.17,3353.46,RAIS 2023 neighborhood shares + CEMPRE 2024,10075,4,8527,5973.0,2997653
144,3304557,Rio de Janeiro,Rocha Miranda,35917,9252,3786.49,5465.65,RAIS 2023 neighborhood shares + CEMPRE 2024,9247,-5,17876,3367.0,2997653
145,3304557,Rio de Janeiro,Rocinha,72154,11165,1163.95,10001.15,RAIS 2023 neighborhood shares + CEMPRE 2024,11169,4,35912,1035.0,2997653
146,3304557,Rio de Janeiro,Sampaio,8832,2407,1045.87,1361.44,RAIS 2023 neighborhood shares + CEMPRE 2024,2402,-5,4396,930.0,2997653
147,3304557,Rio de Janeiro,Santa Cruz,249134,75159,35799.04,39360.4,RAIS 2023 neighborhood shares + CEMPRE 2024,75173,14,123996,31833.0,2997653
148,3304557,Rio de Janeiro,Santa Teresa,41355,8685,2651.78,6033.68,RAIS 2023 neighborhood shares + CEMPRE 2024,8679,-6,20583,2358.0,2997653
149,3304557,Rio de Janeiro,Santo Cristo,9663,116765,100222.24,16542.38,RAIS 2023 neighborhood shares + CEMPRE 2024,116762,-3,4810,89119.0,2997653
150,3304557,Rio de Janeiro,Santíssimo,46878,11119,4111.5,7007.45,RAIS 2023 neighborhood shares + CEMPRE 2024,11120,1,23330,3656.0,2997653
151,3304557,Rio de Janeiro,Saúde,1876,22045,18915.59,3129.26,RAIS 2023 neighborhood shares + CEMPRE 2024,22050,5,934,16820.0,2997653
152,3304557,Rio de Janeiro,Senador Camará,107123,18394,3306.29,15087.93,RAIS 2023 neighborhood shares + CEMPRE 2024,18404,10,53316,2940.0,2997653
153,3304557,Rio de Janeiro,Senador Vasconcelos,32417,10295,5105.63,5189.51,RAIS 2023 neighborhood shares + CEMPRE 2024,10300,5,16136,4540.0,2997653
154,3304557,Rio de Janeiro,Sepetiba,59584,11604,3030.77,8573.27,RAIS 2023 neighborhood shares + CEMPRE 2024,11603,-1,29654,2695.0,2997653
